Gene,GeneName,LRT_stat,stat_full,LRT_day2,LRT_day7,log2FoldChange,x_lrt,y_stat_full,panel_lineage
ENSG00000108774,RAB5C,4.91,4.08,0.34,0.39,-0.84,4.91,4.08,mesoderm
ENSG00000108784,NAGLU,0.0,1.8,0.0,0.0,-1.03,0.0,1.8,mesoderm
ENSG00000108786,HSD17B1,2.92,0.81,0.92,1.03,-1.7,2.92,0.81,mesoderm
ENSG00000108788,MLX,1.61,8.4,1.91,1.2,0.02,1.61,8.4,mesoderm
ENSG00000108797,CNTNAP1,2.37,5.41,1.17,0.61,-0.3,2.37,5.41,mesoderm
ENSG00000108798,ABI3,3.7,0.87,4.09,0.12,0.87,3.7,0.87,mesoderm
ENSG00000108799,EZH1,2.82,5.75,1.1,1.12,-0.07,2.82,5.75,mesoderm
ENSG00000108821,COL1A1,2.44,0.8,0.24,0.08,0.04,2.44,0.8,mesoderm
ENSG00000108823,SGCA,2.22,0.53,2.44,0.46,-0.9,2.22,0.53,mesoderm
ENSG00000108825,PTGES3L-AARSD1,0.0,0.23,2.46,0.2,-1.08,0.0,0.23,mesoderm
ENSG00000108826,MRPL27,5.14,8.38,0.03,5.05,-1.35,5.14,8.38,mesoderm
ENSG00000108828,VAT1,0.66,5.93,3.14,2.15,-0.12,0.66,5.93,mesoderm
ENSG00000108829,LRRC59,1.08,8.35,2.73,2.04,0.28,1.08,8.35,mesoderm
ENSG00000108830,RND2,26.29,0.4,2.76,4.04,-3.09,26.29,0.4,mesoderm
ENSG00000108839,ALOX12,2.68,0.04,0.09,0.36,-2.34,2.68,0.04,mesoderm
ENSG00000108840,HDAC5,1.54,0.92,0.94,0.14,-0.35,1.54,0.92,mesoderm
ENSG00000108846,ABCC3,4.43,5.93,0.84,0.61,0.32,4.43,5.93,mesoderm
ENSG00000108848,LUC7L3,1.43,2.55,0.01,1.79,-0.37,1.43,2.55,mesoderm
ENSG00000108852,MPP2,4.67,1.11,1.7,0.2,-2.21,4.67,1.11,mesoderm
ENSG00000108854,SMURF2,1.89,1.76,2.74,0.04,0.22,1.89,1.76,mesoderm
ENSG00000108861,DUSP3,3.91,3.45,0.69,0.0,0.29,3.91,3.45,mesoderm
ENSG00000108878,CACNG1,0.0,0.05,0.0,0.0,-2.86,0.0,0.05,mesoderm
ENSG00000108883,EFTUD2,15.45,0.64,10.92,0.28,1.36,15.45,0.64,mesoderm
ENSG00000108932,SLC16A6,0.0,0.19,0.0,0.0,-1.73,0.0,0.19,mesoderm
ENSG00000108946,PRKAR1A,8.15,7.18,1.63,1.08,-2.0,8.15,7.18,mesoderm
ENSG00000108947,EFNB3,1.97,0.15,0.08,0.11,-1.1,1.97,0.15,mesoderm
ENSG00000108950,FAM20A,0.0,1.13,0.0,0.05,-2.06,0.0,1.13,mesoderm
