sn_sample,lysate_sample,log10_enrichment_factor
24L006479,24L006460,0.40516795285661406
24L006479,24L006460,0.07234304764169841
24L006479,24L006460,0.3593835801358641
24L006479,24L006460,-1.0630402541090203
24L006479,24L006460,0.04700876093515498
24L006479,24L006460,-0.5674525235742786
24L006479,24L006460,-1.2789159851040632
24L006479,24L006460,-0.535663175773375
24L006479,24L006460,-0.08490969136347791
24L006479,24L006460,-0.19208082942393004
24L006479,24L006460,-1.42021641377063
24L006479,24L006460,-0.5104430067014379
24L006479,24L006460,-0.6269425434442679
24L006479,24L006460,0.213706674076561
24L006479,24L006460,-0.2633170381318605
24L006479,24L006460,-0.2247963086669536
24L006479,24L006460,0.12978442490538422
24L006479,24L006460,-0.35014387757928983
24L006479,24L006460,-0.26250526007154473
24L006479,24L006460,-0.8526181967614637
24L006479,24L006460,0.5400153614967922
24L006479,24L006460,-0.911872163609515
24L006479,24L006460,0.26221431761437275
24L006479,24L006460,-1.4130019787642247
24L006479,24L006460,-0.5074838394045742
24L006479,24L006460,0.18051800434968096
24L006479,24L006460,-0.8674476774588682
24L006479,24L006460,-0.272683133029825
24L006479,24L006460,-0.13027701147080015
24L006479,24L006460,-0.4111335038981869
24L006479,24L006460,0.33713324895636465
24L006479,24L006460,-0.48969161598965505
24L006479,24L006460,-0.3576474180799872
24L006479,24L006460,0.2547670678518392
24L006479,24L006460,-0.4843265912414825
24L006479,24L006460,-1.1654263620551815
24L006479,24L006460,-0.15058154584975278
24L006479,24L006460,-0.43381794508980626
24L006479,24L006460,-1.0358779364177686
24L006479,24L006460,-0.9821930774549925
24L006479,24L006460,-0.551227353159488
24L006479,24L006460,-0.8463812176086662
24L006479,24L006460,0.529697112761655
24L006479,24L006460,0.2942659382828273
24L006479,24L006460,-0.21909728367799408
24L006479,24L006460,-0.004771501969099609
24L006479,24L006460,-0.010147625351151192
24L006479,24L006460,0.14527079110749544
24L006479,24L006460,-0.9859377514739823
24L006479,24L006460,0.4532720253820111
24L006479,24L006460,-1.7955457811073992
24L006479,24L006460,-0.8819870013586497
24L006479,24L006460,-0.4117168930155437
24L006479,24L006460,-0.7187471848620675
24L006479,24L006460,0.3741929649455237
24L006479,24L006460,0.36086511839993984
24L006479,24L006460,-0.16666949623668598
24L006479,24L006460,0.10482053679977296
24L006479,24L006460,-0.08470721269597555
24L006479,24L006460,-0.23763473846551966
24L006479,24L006460,-0.5016761610400403
24L006479,24L006460,0.09439235951008543
24L006479,24L006460,-0.3488071553814577
24L006479,24L006460,-0.08320158259532048
24L006479,24L006460,-0.24065407976956177
24L006479,24L006460,-0.2649524176495055
24L006479,24L006460,0.08296183706881737
24L006479,24L006460,0.2351888358687693
24L006479,24L006460,0.4214992601061366
24L006479,24L006460,-0.10927224843828379
24L006479,24L006460,0.19466432474993284
24L006479,24L006460,-0.6130982967806173
24L006479,24L006460,0.7844518616341181
24L006479,24L006460,0.6682414227282549
24L006479,24L006460,-0.7373488099636664
24L006479,24L006460,0.42915250153623397
24L006479,24L006460,-0.7804502984384059
24L006479,24L006460,0.11388438391556344
24L006479,24L006460,-0.16336041909750024
24L006479,24L006460,-0.7511942862653851
24L006479,24L006460,-0.9485911686292088
24L006479,24L006460,-0.19077989640351184
24L006479,24L006460,-0.4618884257673286
24L006479,24L006460,-0.48374596196230435
24L006479,24L006460,-0.6376459650578253
24L006479,24L006460,0.2838557416890714
24L006479,24L006460,-0.031376555053847746
24L006479,24L006460,-1.9047426983897742
24L006479,24L006460,0.6145035825149289
24L006479,24L006460,-1.1288044385886078
24L006479,24L006460,-0.34018564184298583
24L006479,24L006460,-0.9924679893130791
24L006479,24L006460,0.11997440126491049
24L006479,24L006460,0.3046866803666694
24L006479,24L006460,-1.2797768267771992
24L006479,24L006460,-0.09128385920924638
24L006479,24L006460,-0.26435726493313827
24L006479,24L006460,-1.2950765550408219
24L006479,24L006460,0.17251483034946766
24L006479,24L006460,-0.029347069258810903
24L006479,24L006460,-0.6261329421553882
24L006479,24L006460,-0.39489987905943674
24L006479,24L006460,-0.08335250238318985
24L006479,24L006460,0.10545121637870063
24L006479,24L006460,0.017533034561232327
24L006479,24L006460,0.09605881906626958
24L006479,24L006460,-0.19640798141193802
24L006479,24L006460,-0.12710510209546177
24L006479,24L006460,-0.6062125890193435
