pathway,pval,padj,log2err,ES,NES,size,leadingEdge,timepoint
GOBP_HETEROCHROMATIN_FORMATION,0.974025974025974,0.983669795550984,0.0847985102819124,0.170881673903356,0.576557443313448,15,MBD3|H2AZ2|KAT8,6
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,0.977777777777778,0.986238154099711,0.0860347242455604,0.159541188738269,0.556756667457601,17,PARK7|UBB|RPS7|BCAP31|SFPQ|RACK1|ATF4|SOD2|MSX1|TPT1|EI24|ERP29|PPIA|RAD9A|NONO|RPS3|ENO1,6
GOBP_DNA_RECOMBINATION,0.98159509202454,0.98883622526111,0.0228693972350018,-0.180868311621931,-0.559367202143547,27,TONSL|TCF3|PRMT1|NABP2|NONO|CSNK2A1|BRIP1|PMS2,6
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE,0.982777179763186,0.98883622526111,0.0141641602737639,-0.159841942149857,-0.592809796662873,86,TONSL|NUTF2|ELAVL1|CCDC88A|TOMM7|ESCO2|SGTA|C2CD3|SUMO3|HPS4|NETO2|MIS18A,6
GOMF_PEPTIDASE_ACTIVITY,0.988023952095808,0.991094139708749,0.0210730272985761,-0.154030254153043,-0.496907827450128,34,DPP9|HM13|SENP5|ERMP1|ADAM17|SERPINB9|SPPL2A|PMPCA|SPG7|USP8|USP22|USP13|HINT1|DDI2,6
GOBP_REGULATION_OF_PROTEIN_SECRETION,0.988372093023256,0.991094139708749,0.0253415500976615,-0.177040834139198,-0.486630665372381,16,STXBP4,6
GOBP_REGULATION_OF_T_CELL_ACTIVATION,0.988664987405541,0.991094139708749,0.0239329549624917,-0.17199164381678,-0.512560687087853,23,IDO1|CD24,6
GOCC_SMALL_RIBOSOMAL_SUBUNIT,0.991228070175439,0.99244430093639,0.0845557442441281,0.151072853565078,0.519476756467701,16,RPS27|RPS15|RPS23|RPS7|RPS19,6
GOMF_MOLECULAR_FUNCTION_INHIBITOR_ACTIVITY,0.998798076923077,0.998798076923077,0.020635764771317,-0.137520920154828,-0.4512239225562,38,ADGRV1|PABIR3|VAMP8|DUSP3,6
GOCC_CONTRACTILE_MUSCLE_FIBER,2.4001900501606403e-09,1.95855508093108e-06,0.774939030136436,0.70090797849603,2.74754812471308,33,MYH6|TNNC1|MYL4|ANKRD1|ACTC1|MYL3|TNNI1|MYL7|TNNT2|FKBP1A|LDB3|ENO1|PDLIM5|FLNC|TPM1|FLNA|MYL6B|KRT8|JUP|GGPS1|TPM2|MYL9,7
GOCC_SUPRAMOLECULAR_POLYMER,1.69564681621952e-08,6.91823901017565e-06,0.73376198835648,0.486098926880458,2.31411485899453,71,MYH6|TNNC1|MYL4|ANKRD1|ACTC1|MYL3|TNNI1|MYL7|KIF1C|TNNT2|FKBP1A|LDB3|KRT7|KRT18|ENO1|PDLIM5|DYNLL1|FLNC|TUBA1B|TPM1|FLNA|MYL6B|KRT8|JUP|TPT1|GGPS1|TPM2|MYL9|NES,7
GOBP_MUSCLE_SYSTEM_PROCESS,8.70625138793985e-08,2.14084796398602e-05,0.704975715167238,0.649284995991333,2.54518685458284,33,MYH6|TNNC1|MYL4|ACTC1|MYL3|TNNI1|TNNT2|FKBP1A|ENO1|PDLIM5|GAMT|TPM1|FLNA|MYL6B|DSG2|JUP|TPM2|MYL9,7
GOBP_MUSCLE_CONTRACTION,1.04943527646374e-07,2.14084796398602e-05,0.704975715167238,0.707336137089658,2.73323247249376,28,MYH6|TNNC1|MYL4|ACTC1|MYL3|TNNI1|TNNT2|FKBP1A|ENO1|GAMT|TPM1|FLNA|MYL6B|DSG2|JUP|TPM2|MYL9,7
GOCC_SUPRAMOLECULAR_COMPLEX,1.56027694044075e-07,2.54637196679931e-05,0.690132458796796,0.371681422302208,1.92205587881272,117,MYH6|TNNC1|MYL4|ANKRD1|ACTC1|MYL3|TNNI1|MYL7|AGO1|KIF1C|TNNT2|FKBP1A|LDB3|KRT7|KRT18|G3BP1|ENO1|PDLIM5|DYNLL1|SMARCA4|FLNC|ZFP36L1|TUBA1B|MEX3A|TPM1|VCP|FLNA|MYL6B|KRT8|JUP|LARP1|TPT1|RANGAP1|GGPS1|TPM2|MYL9,7
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,4.06629260037268e-07,4.99960213766335e-05,0.674962860011025,0.448878783693268,2.13692523433082,71,MYL3|KRT7|KRT18|RPL27|H4C3|TUBA1B|MRPL57|TPM1|MYL6B|FN1|JUP|RPL22L1|TPM2|MYL9|RPL36|RPL34|RPS15|RPS27|UBA52|RPL18A|RPS19|RPS3|TUBA1A|MYL6|RPS26|RPL11|RPS4X|TPM4|RPL12|RPL21|APOE|NUTF2|KRT19|RPS23|H3-3A|ACTB|RPL35|RPL13|RPL3|RPL22|RPL7L1|RPSA|TUBD1|HMGA1|CRELD1|VIM|RPL4,7
GOBP_STRIATED_MUSCLE_CONTRACTION,4.28887438279944e-07,4.99960213766335e-05,0.674962860011025,0.780811008392988,2.69413984558664,18,MYH6|TNNC1|MYL4|ACTC1|MYL3|TNNI1|TNNT2|FKBP1A|TPM1|FLNA|DSG2|JUP,7
GOBP_CARDIAC_MUSCLE_CONTRACTION,1.49879106773366e-06,0.0001528766889088,0.643551836150722,0.786606045261971,2.6377431278373,17,MYH6|TNNC1|MYL4|ACTC1|MYL3|TNNI1|TNNT2|FKBP1A|TPM1|FLNA|DSG2|JUP,7
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,3.67922081734387e-06,0.0003335826874391,0.627256739718528,0.497994325667738,2.18539047838346,50,MYH6|TNNC1|ANKRD1|ACTC1|MYL3|TNNI1|IGF2|TNNT2|FKBP1A|MSX1|LDB3|PDLIM5|SMARCA4|FLNC|ZFP36L1|TAGLN|CREB1|TPM1|MYL6B,7
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,5.78840429297358e-06,0.0004477317838149,0.610526878385931,0.610055389833276,2.38105937931425,31,MYH6|TNNC1|ANKRD1|ACTC1|MYL3|TNNI1|MYL7|TNNT2|FKBP1A|MSX1|PDLIM5|VGLL4|CREB1|TPM1|DSG2,7
GOBP_HEART_PROCESS,6.58429093845583e-06,0.0004477317838149,0.610526878385931,0.683764833788738,2.54693223233277,23,MYH6|TNNC1|MYL4|ACTC1|MYL3|TNNI1|MYL7|TNNT2|FKBP1A|TPM1|FLNA|DSG2|JUP,7
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,6.58429093845583e-06,0.0004477317838149,0.610526878385931,0.683323262532233,2.54528743866908,23,MYH6|ANKRD1|ACTC1|IGF2|TNNT2|MSX1|LDB3|PDLIM5|FLNC|TPM1|MYL9|MYLK3|CXADR,7
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,7.74426606781489e-06,0.0004861016239489,0.593325476396405,0.51278720748708,2.18758000438332,43,MYH6|ANKRD1|ACTC1|TNNT2|LDB3|G3BP1|FLNC|TPM1|FLNA|MYL9|MYLK3|KPNB1|RPS15|RPS27|RPS19|RPS3|RRP7A|C2CD3|RPL11,7
GOBP_HEART_DEVELOPMENT,9.90636531103519e-06,0.0005631689543279,0.593325476396405,0.43845165391538,1.99473914590133,59,MYH6|TNNC1|ANKRD1|ACTC1|MYL3|TNNI1|MYL7|TNNT2|FKBP1A|MSX1|LDB3|DUSP6|PDLIM5|VGLL4|ZFP36L1|CREB1|TPM1|FN1|DSG2,7
GOBP_MUSCLE_TISSUE_DEVELOPMENT,1.03523704839696e-05,0.0005631689543279,0.593325476396405,0.514830529814278,2.1691923726751,41,MYH6|TNNC1|ANKRD1|ACTC1|MYL3|TNNI1|MYL7|IGF2|TNNT2|FKBP1A|MSX1|PDLIM5|VGLL4|CREB1|TPM1|MYL6B|DSG2,7
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,1.6141744907098e-05,0.0008232289902619,0.575610261071129,0.368009716911434,1.82614588387706,90,MYH6|TNNC1|ANKRD1|ACTC1|MYL3|TNNI1|MYL7|AGO1|TNNT2|ATP5F1B|FKBP1A|MSX1|LDB3|MDK|SLC31A1|DUSP6|PDLIM5|VGLL4|ZFP36L1|CCBE1|CREB1|TPM1|FN1|DSG2|JUP,7
GOCC_I_BAND,2.3258171011471e-05,0.0011163922085506,0.575610261071129,0.76180112139341,2.54751163193398,16,MYH6|ANKRD1|ACTC1|MYL3|FKBP1A|LDB3|PDLIM5|FLNC|FLNA|KRT8|JUP|GGPS1|MYL9,7
