pathway,fisher_pval,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,fisher_padj
REACTOME_SIGNALING_BY_INTERLEUKINS,0.594094207069672,0.4810909195030581,0.163951120162933,10,0,-0.0388001983434519,0.8114337139529219
WONG_MITOCHONDRIA_GENE_MODULE,0.594978223391341,0.815319929136102,0.0634443014750796,10,0,-0.31059680297381986,0.8114337139529219
BOCHKIS_FOXA2_TARGETS,0.5961869844883109,0.32775779443898645,0.141732283464567,10,0,0.2319760465697162,0.8114337139529219
DARWICHE_SQUAMOUS_CELL_CARCINOMA_DN,0.6025405319854648,0.32248840252014194,0.219792865362486,10,0,-0.21080489100547192,0.8179565770994393
HAMAI_APOPTOSIS_VIA_TRAIL_UP,0.6051131831209223,0.5644723173323559,0.0546218487394958,10,0,0.13217932581289724,0.8193263771456416
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,0.6090596395124566,0.7438204382162544,0.069872536097019,10,0,-0.2222150959896101,0.8225444616096063
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP,0.6109003916003541,0.44550263535723955,0.0968553459119497,10,0,-0.01469612317047494,0.8226961938200466
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN,0.6123120526523247,0.3785053672796691,0.182464454976303,10,0,-0.16476399196257557,0.8226961938200466
WP_CANCER_PATHWAYS,0.6154594435570986,0.4525407716005045,0.100993377483444,10,0,-0.04697361719307939,0.8248100982708942
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.6187938216395014,0.8259720081618704,0.0166088000926298,10,0,0.13503272038405129,0.8259242903857013
DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_UP,0.6194432177892759,0.42607493169113864,0.0700636942675159,10,0,0.0983350321402356,0.8259242903857013
PHONG_TNF_RESPONSE_NOT_VIA_P38,0.6228147643689012,0.6232552257585595,0.0805084745762712,10,0,0.1856982642872418,0.8283120216479802
CUI_TCF21_TARGETS_2_UP,0.6276522401062395,0.43411988228344256,0.155677655677656,10,0,0.09974640687376968,0.8306543998781329
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL,0.628053596648427,0.6880207438738376,0.0309750960480198,10,0,0.0889675647646809,0.8306543998781329
DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2,0.6302063024114903,0.6426112147331345,0.0405281259503962,10,0,0.11893273211872316,0.8306543998781329
REACTOME_INFECTIOUS_DISEASE,0.6309168915104902,1.0,0.0889340193344181,10,0,-0.1882356989608305,0.8306543998781329
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY,0.632538339403465,0.5511201748725603,0.0756048387096774,10,0,-0.5073388030244876,0.8307019795674578
MULLIGHAN_MLL_SIGNATURE_2_DN,0.6343832191710745,0.5014990804838849,0.170190274841438,10,0,-0.19701215074744213,0.8310420171141076
BASAKI_YBX1_TARGETS_DN,0.6389206065133571,0.5892745092934265,0.103494623655914,10,0,-0.09335631830744391,0.8348987476633395
DARWICHE_SQUAMOUS_CELL_CARCINOMA_UP,0.6460625937856153,0.6942398035319479,0.0323699421965318,10,0,0.03160619447546091,0.8399803347726532
FOURNIER_ACINAR_DEVELOPMENT_LATE_2,0.6466287993170888,0.496672741555625,0.123844731977819,10,0,-0.16502020996617195,0.8399803347726532
LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN,0.6482259754793457,0.7388733885787355,0.0724029380902413,10,0,-0.01342681052107222,0.8399803347726532
MILI_PSEUDOPODIA_CHEMOTAXIS_DN,0.6492214419521461,0.5873061241006903,0.111304347826087,10,0,0.06165011715278377,0.8399803347726532
LU_EZH2_TARGETS_DN,0.6575624588406945,0.651663908407641,0.110294117647059,10,0,0.04758447894711735,0.8486766710160688
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,0.6624485597472081,0.8734052476965524,0.0092866355984455,10,0,-0.03832348674225128,0.8521996296704331
WANG_LMO4_TARGETS_DN,0.6635447498197264,0.5523103955207811,0.203517587939698,10,0,-0.006065716674277822,0.8521996296704331
