"Gene","cm_2_1","cm_2_2","cm_2_3","cm_3_1","cm_3_2","cm_3_3","cm_4_1","cm_4_2","cm_4_3","cm_5_1","cm_5_2","cm_5_3"
"ENSG00000002746",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002822",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002834",0,0,1.28408216960158,0,0,0,0,0,0,0,0,0
"ENSG00000002919",0,0,0.642041084800792,5.83134649157004,0,1.10668191970032,4.60235631748463,0,0,0,0,0
"ENSG00000002933",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003056",0.803276979451855,0,0,0.728918311446255,0,0,0,0,0,0,1.43583356980457,0
"ENSG00000003096",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003137",0,0,0,0,0,1.10668191970032,0,0,0,0,0,0
"ENSG00000003147",0,0,0,0,0,1.10668191970032,0,0,0,0,0,0
"ENSG00000003249",0.401638489725927,0,11.5567395264143,0,0,1.10668191970032,0,0,0,0,0,0
"ENSG00000003393",0,0.565628588377072,0.642041084800792,1.45783662289251,1.69321929194339,3.32004575910097,0,0,0,0,4.30750070941371,0
"ENSG00000003400",0.401638489725927,0,0,0.728918311446255,0.564406430647798,0,0,0,0,0,0.478611189934857,0
"ENSG00000003402",1.60655395890371,2.82814294188536,5.77836976320713,5.83134649157004,3.95084501453459,3.32004575910097,0,0,0,1.17965293862394,6.22194546915314,3.92617881552118
"ENSG00000003436",0.803276979451855,0,0,0,0.564406430647798,0,0,0,0,0,0,0
"ENSG00000003509",0.401638489725927,1.13125717675414,0,0.728918311446255,0,0,0,0,0,0,1.43583356980457,0.785235763104235
"ENSG00000003756",0,0,0,0,0.564406430647798,0,16.1082471111962,0,0,0,0.478611189934857,0
"ENSG00000003987",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003989",0,0,0,2.18675493433877,0.564406430647798,4.42672767880129,0,9.2900405371867,0,0,0.478611189934857,0
"ENSG00000004059",10.0409622431482,9.61568600241022,19.9032736288246,4.37350986867753,5.07965787583018,2.21336383940064,4.60235631748463,15.4834008953112,3.85224650880475,0,0.478611189934857,2.35570728931271
"ENSG00000004139",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004142",0,0,0.642041084800792,0.728918311446255,0,1.10668191970032,0,0,0,0,0,0
"ENSG00000004399",0,0,0,0,0,0,9.20471263496927,0,0,0,0,0
"ENSG00000004455",1.20491546917778,2.26251435350829,0.642041084800792,0,1.69321929194339,0,9.20471263496927,3.09668017906223,0,0,0,0
"ENSG00000004468",0,0,0,0,0.564406430647798,0,0,0,0,0,0,0
"ENSG00000004478",0,0,3.21020542400396,1.45783662289251,0,0,0,0,11.5567395264143,0,0,0
"ENSG00000004487",1.20491546917778,1.13125717675414,0,0,2.82203215323899,1.10668191970032,2.30117815874232,9.2900405371867,1.92612325440238,0,2.87166713960914,0.785235763104235
"ENSG00000004534",0,0,0.642041084800792,2.91567324578502,0,0,0,0,0,0,0,2.35570728931271
"ENSG00000004660",0,0.565628588377072,0.642041084800792,0,0,0,0,0,0,1.17965293862394,1.43583356980457,0.785235763104235
"ENSG00000004700",0,1.69688576513122,0.642041084800792,2.18675493433877,0,0,0,0,0,0,0,0
"ENSG00000004766",0,0,0.642041084800792,0.728918311446255,0,0,0,0,0,1.17965293862394,1.43583356980457,0
"ENSG00000004776",0,0,0,0,0,0,0,0,0,1.17965293862394,0,0
"ENSG00000004777",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004779",4.01638489725927,1.69688576513122,7.70449301760951,2.91567324578502,0.564406430647798,0,0,0,0,0,0,0
"ENSG00000004799",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004809",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004838",0,0,0,0,0,0,0,0,0,0,0,0
