panel,stem,replicate_pair,log10_export_ratio
a,suppl6a_ipsc_export_ratio,1,-0.2178749666437703
a,suppl6a_ipsc_export_ratio,1,-1.635416643580535
a,suppl6a_ipsc_export_ratio,1,-1.324590104709416
a,suppl6a_ipsc_export_ratio,1,0.18903336474012752
a,suppl6a_ipsc_export_ratio,1,0.044435764458103794
a,suppl6a_ipsc_export_ratio,1,0.2424317803023544
a,suppl6a_ipsc_export_ratio,1,-0.2473013060892709
a,suppl6a_ipsc_export_ratio,1,-0.07026671911445972
a,suppl6a_ipsc_export_ratio,1,-0.2142573645618511
a,suppl6a_ipsc_export_ratio,1,-0.6911009495387851
a,suppl6a_ipsc_export_ratio,1,0.22450043504350983
a,suppl6a_ipsc_export_ratio,1,-1.5412762359648093
a,suppl6a_ipsc_export_ratio,1,-0.371066174297592
a,suppl6a_ipsc_export_ratio,1,-0.16465271304995727
a,suppl6a_ipsc_export_ratio,1,-0.612531298939118
a,suppl6a_ipsc_export_ratio,1,-1.408656490102344
a,suppl6a_ipsc_export_ratio,1,-0.2563175890999529
a,suppl6a_ipsc_export_ratio,1,-0.8729913153437602
a,suppl6a_ipsc_export_ratio,1,-1.2293136892593066
a,suppl6a_ipsc_export_ratio,1,-0.898632977713575
a,suppl6a_ipsc_export_ratio,1,0.5718532532303389
a,suppl6a_ipsc_export_ratio,1,-0.09405410727314882
a,suppl6a_ipsc_export_ratio,1,-1.4606721646740204
a,suppl6a_ipsc_export_ratio,1,0.32984477998302814
a,suppl6a_ipsc_export_ratio,1,0.6198857554399754
a,suppl6a_ipsc_export_ratio,1,-1.1407943011323747
a,suppl6a_ipsc_export_ratio,1,-0.40992294905798615
a,suppl6a_ipsc_export_ratio,1,1.2963135916398532
a,suppl6a_ipsc_export_ratio,1,0.5438364431124612
a,suppl6a_ipsc_export_ratio,1,1.4852110993132448
a,suppl6a_ipsc_export_ratio,1,0.05644989778976645
a,suppl6a_ipsc_export_ratio,1,0.4585621885978711
a,suppl6a_ipsc_export_ratio,1,-0.7405946301955584
a,suppl6a_ipsc_export_ratio,1,-0.2053387796093331
a,suppl6a_ipsc_export_ratio,1,0.4912285740232947
a,suppl6a_ipsc_export_ratio,1,-0.11915801377841849
a,suppl6a_ipsc_export_ratio,1,0.06190651866202778
a,suppl6a_ipsc_export_ratio,1,-0.6488228545983263
a,suppl6a_ipsc_export_ratio,1,0.12584717494542164
a,suppl6a_ipsc_export_ratio,1,-0.08498971083514743
a,suppl6a_ipsc_export_ratio,1,-0.39903293817016333
a,suppl6a_ipsc_export_ratio,1,-0.31153890697710696
a,suppl6a_ipsc_export_ratio,1,-0.9446937647605915
a,suppl6a_ipsc_export_ratio,1,-0.7041152822520342
a,suppl6a_ipsc_export_ratio,1,-0.140909945312805
a,suppl6a_ipsc_export_ratio,1,-0.24114399566764527
a,suppl6a_ipsc_export_ratio,1,-0.6677633923548962
a,suppl6a_ipsc_export_ratio,1,-1.6744240923166644
a,suppl6a_ipsc_export_ratio,1,-1.271824177357762
a,suppl6a_ipsc_export_ratio,1,-0.003045771191115013
a,suppl6a_ipsc_export_ratio,1,-1.816759428612746
a,suppl6a_ipsc_export_ratio,1,-0.34918738046352865
a,suppl6a_ipsc_export_ratio,1,-0.030420152199952158
a,suppl6a_ipsc_export_ratio,1,-0.7027836411735503
a,suppl6a_ipsc_export_ratio,1,-1.2236755092470994
a,suppl6a_ipsc_export_ratio,1,-0.5117894174662108
a,suppl6a_ipsc_export_ratio,1,-1.0304656927114466
a,suppl6a_ipsc_export_ratio,1,0.45582447699508677
a,suppl6a_ipsc_export_ratio,1,-0.020619944944344368
a,suppl6a_ipsc_export_ratio,1,-1.1438046916686337
a,suppl6a_ipsc_export_ratio,1,-0.5494148983865818
a,suppl6a_ipsc_export_ratio,1,0.5594134128428012
a,suppl6a_ipsc_export_ratio,1,0.3631544193144687
a,suppl6a_ipsc_export_ratio,1,-0.2822431900206175
a,suppl6a_ipsc_export_ratio,1,-0.16001279332071142
a,suppl6a_ipsc_export_ratio,1,0.962673289118828
a,suppl6a_ipsc_export_ratio,1,0.4067876093142112
a,suppl6a_ipsc_export_ratio,1,-0.8810892471403986
a,suppl6a_ipsc_export_ratio,1,-0.6079183385845544
a,suppl6a_ipsc_export_ratio,1,0.22776997377407404
a,suppl6a_ipsc_export_ratio,1,-0.20536661360516403
a,suppl6a_ipsc_export_ratio,1,-1.2265232013027858
a,suppl6a_ipsc_export_ratio,1,-1.183972557353186
a,suppl6a_ipsc_export_ratio,1,-0.9873166459050962
a,suppl6a_ipsc_export_ratio,1,-0.9667167285468423
a,suppl6a_ipsc_export_ratio,1,0.21007970645638527
a,suppl6a_ipsc_export_ratio,1,0.4758448585516337
a,suppl6a_ipsc_export_ratio,1,0.3623717783136022
a,suppl6a_ipsc_export_ratio,1,-1.5699849904627863
a,suppl6a_ipsc_export_ratio,1,-0.6297638165410081
a,suppl6a_ipsc_export_ratio,1,-1.3714663546228956
a,suppl6a_ipsc_export_ratio,1,-1.5047902112241636
a,suppl6a_ipsc_export_ratio,1,-0.005573812772430664
a,suppl6a_ipsc_export_ratio,1,-0.9819200566726232
a,suppl6a_ipsc_export_ratio,1,-0.3071891415323255
a,suppl6a_ipsc_export_ratio,1,-0.1489813721072461
a,suppl6a_ipsc_export_ratio,1,-0.7472125560999742
a,suppl6a_ipsc_export_ratio,1,-0.008148859473822195
a,suppl6a_ipsc_export_ratio,1,-0.8890621734939392
a,suppl6a_ipsc_export_ratio,1,-0.6670037381204589
a,suppl6a_ipsc_export_ratio,1,-0.9254833272065417
a,suppl6a_ipsc_export_ratio,1,-0.3571530656920812
a,suppl6a_ipsc_export_ratio,1,-0.5681223268267697
a,suppl6a_ipsc_export_ratio,1,-0.7714051940411744
a,suppl6a_ipsc_export_ratio,1,-0.3436873107530507
a,suppl6a_ipsc_export_ratio,1,0.09179524277262827
a,suppl6a_ipsc_export_ratio,1,0.012414682767096905
a,suppl6a_ipsc_export_ratio,1,-0.8127305388838194
a,suppl6a_ipsc_export_ratio,1,-0.008678417229046713
a,suppl6a_ipsc_export_ratio,1,-0.8129368602961107
a,suppl6a_ipsc_export_ratio,1,-0.5945682753815904
a,suppl6a_ipsc_export_ratio,1,1.4177507306541965
a,suppl6a_ipsc_export_ratio,1,-0.41076295923932404
a,suppl6a_ipsc_export_ratio,1,-0.2110172320706682
a,suppl6a_ipsc_export_ratio,1,-0.21462101674133896
a,suppl6a_ipsc_export_ratio,1,-0.2563701001786556
a,suppl6a_ipsc_export_ratio,1,-0.21687582817367468
