,SN_S1_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S1_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S1_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_3_MKDL250005004-1A_22VVM5LT4_L5
ENSG00000258461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000258465,2.0,0.0,5.0,3.0,12.0,17.0,8.0,7.0,7.0,7.0,10.0,2.0,24.0,12.0,158.0,0.0,5.0,0.0,25.0,7.0,16.0,55.0,44.0,4.0,19.0,11.0,9.0,25.0,30.0,11.0,2.0,8.0,6.0,4.0,31.0,2.0
ENSG00000258466,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0
ENSG00000258472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000258484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258529,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,4.0,2.0,8.0,1.0,1.0,3.0,5.0,1.0,0.0,1.0,0.0,5.0,6.0,2.0
ENSG00000258539,5.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,7.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ENSG00000258555,15.0,8.0,3.0,3.0,1.0,8.0,11.0,4.0,5.0,3.0,7.0,6.0,3.0,9.0,26.0,0.0,0.0,0.0,5.0,2.0,1.0,10.0,17.0,8.0,6.0,2.0,2.0,8.0,22.0,3.0,1.0,0.0,1.0,3.0,10.0,2.0
ENSG00000258588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,4.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0
ENSG00000258597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258643,214.0,143.0,126.0,23.0,43.0,43.0,23.0,6.0,17.0,13.0,40.0,16.0,11.0,26.0,122.0,0.0,0.0,4.0,24.0,12.0,19.0,48.0,34.0,11.0,32.0,2.0,8.0,30.0,29.0,7.0,9.0,14.0,10.0,22.0,39.0,7.0
ENSG00000258644,40.0,38.0,25.0,5.0,6.0,13.0,0.0,3.0,5.0,5.0,20.0,10.0,2.0,8.0,2.0,0.0,0.0,0.0,28.0,16.0,24.0,81.0,54.0,38.0,34.0,37.0,27.0,60.0,49.0,17.0,12.0,21.0,10.0,30.0,55.0,13.0
ENSG00000258653,15.0,13.0,9.0,0.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,7.0,6.0,15.0,10.0,1.0,2.0,3.0,1.0,14.0,17.0,4.0,4.0,5.0,6.0,4.0,10.0,3.0
ENSG00000258659,10.0,15.0,1.0,0.0,0.0,5.0,3.0,6.0,0.0,3.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
ENSG00000258674,262.0,75.0,75.0,17.0,54.0,59.0,50.0,7.0,13.0,8.0,22.0,15.0,2.0,2.0,8.0,0.0,0.0,2.0,313.0,108.0,152.0,521.0,437.0,164.0,488.0,178.0,141.0,367.0,358.0,94.0,71.0,143.0,98.0,356.0,543.0,60.0
ENSG00000258677,9.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,1.0,2.0,4.0,0.0,3.0,6.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
ENSG00000258691,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
ENSG00000258713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258724,7.0,5.0,4.0,0.0,5.0,0.0,7.0,4.0,2.0,0.0,0.0,0.0,3.0,2.0,12.0,0.0,1.0,2.0,2.0,0.0,2.0,7.0,3.0,0.0,2.0,3.0,3.0,6.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0
ENSG00000258728,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,8.0,2.0,1.0,2.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,3.0,10.0,2.0
ENSG00000258790,103.0,81.0,81.0,22.0,98.0,94.0,3.0,1.0,3.0,3.0,5.0,2.0,10.0,7.0,40.0,0.0,1.0,0.0,89.0,82.0,78.0,233.0,237.0,93.0,135.0,79.0,88.0,230.0,164.0,41.0,54.0,66.0,68.0,139.0,280.0,54.0
ENSG00000258806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258818,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,9.0,3.0,41.0,32.0,13.0,27.0,13.0,13.0,27.0,22.0,2.0,10.0,19.0,7.0,22.0,45.0,8.0
ENSG00000258830,4.0,1.0,1.0,0.0,9.0,7.0,4.0,1.0,4.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0
ENSG00000258839,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258864,13.0,16.0,9.0,0.0,1.0,5.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,6.0,21.0,9.0,6.0,15.0,7.0,9.0,10.0,12.0,2.0,6.0,6.0,7.0,20.0,13.0,1.0
