,25L008070,25L008071,25L008072,25L008073,25L008074,25L008075,25L008076,25L008077,25L008078,25L008079,25L008080,25L008081,25L008082,25L008083,25L008084,25L008085,25L008086,25L008087,25L008088,25L008089,25L008090,25L008091,25L008092,25L008093,25L008094,25L008095,25L008096,25L008097,25L008098,25L008099,25L008100,25L008101,25L008102,25L008103,25L008104,25L008105,25L008106,25L008107,25L008110,25L008111
ENSG00000204397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204406,98.0,203.0,182.0,209.0,152.0,206.0,115.0,255.0,115.0,358.0,171.0,222.0,409.0,0.0,0.0,0.0,0.0,10.0,8.0,18.0,12.0,11.0,4.0,15.0,10.0,9.0,9.0,6.0,6.0,12.0,7.0,12.0,2.0,3.0,197.0,0.0,7.0,7.0,0.0,22.0
ENSG00000204410,0.0,5.0,0.0,4.0,7.0,10.0,6.0,24.0,9.0,16.0,2.0,3.0,8.0,0.0,6.0,0.0,0.0,5.0,14.0,22.0,11.0,14.0,15.0,19.0,11.0,18.0,1.0,4.0,9.0,18.0,7.0,1.0,1.0,4.0,7.0,0.0,4.0,6.0,0.0,1.0
ENSG00000204414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204427,5.0,23.0,20.0,21.0,22.0,26.0,32.0,36.0,22.0,40.0,21.0,6.0,23.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,38.0,0.0,1.0,1.0,0.0,7.0
ENSG00000204428,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204435,65.0,117.0,52.0,181.0,201.0,209.0,224.0,311.0,256.0,442.0,123.0,100.0,215.0,0.0,1.0,0.0,2.0,13.0,9.0,22.0,11.0,11.0,7.0,15.0,13.0,11.0,12.0,12.0,11.0,9.0,27.0,13.0,1.0,19.0,394.0,0.0,7.0,14.0,0.0,49.0
ENSG00000204438,23.0,52.0,15.0,118.0,152.0,150.0,177.0,211.0,72.0,151.0,115.0,83.0,255.0,0.0,0.0,0.0,0.0,24.0,8.0,21.0,15.0,10.0,7.0,19.0,8.0,14.0,11.0,16.0,13.0,18.0,18.0,12.0,1.0,14.0,330.0,0.0,6.0,11.0,0.0,44.0
ENSG00000204439,18.0,81.0,30.0,69.0,89.0,220.0,118.0,54.0,22.0,63.0,21.0,23.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,33.0
ENSG00000204442,1.0,8.0,1.0,5.0,18.0,5.0,9.0,0.0,0.0,4.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
