condition,dataset,recall,precision
IFNg,original,1.0,0.0021470746108427268
IFNg,original,1.0,0.002147218680802523
IFNg,original,1.0,0.0021473627700979736
IFNg,original,1.0,0.002147506878732971
IFNg,original,1.0,0.002147651006711409
IFNg,original,1.0,0.0021477951540371837
IFNg,original,1.0,0.0021479393207141898
IFNg,original,1.0,0.002148083506746325
IFNg,original,1.0,0.0021482277121374865
IFNg,original,1.0,0.0021483719368915744
IFNg,original,1.0,0.002148516181012488
IFNg,original,1.0,0.0021486604445041294
IFNg,original,1.0,0.0021488047273704003
IFNg,original,1.0,0.0021489490296152038
IFNg,original,1.0,0.0021490933512424448
IFNg,original,1.0,0.002149237692256028
IFNg,original,1.0,0.0021493820526598604
IFNg,original,1.0,0.002149526432457849
IFNg,original,1.0,0.002149670831653903
IFNg,original,1.0,0.0021498152502519314
IFNg,original,1.0,0.002149959688255845
IFNg,original,1.0,0.0021501041456695557
IFNg,original,1.0,0.0021502486224969763
IFNg,original,1.0,0.00215039311874202
IFNg,original,1.0,0.002150537634408602
IFNg,original,1.0,0.0021506821695006385
IFNg,original,1.0,0.002150826724022046
IFNg,original,1.0,0.0021509712979767425
IFNg,original,1.0,0.0021511158913686476
IFNg,original,1.0,0.0021512605042016807
IFNg,original,1.0,0.002151405136479763
IFNg,original,1.0,0.0021515497882068175
IFNg,original,1.0,0.002151694459386767
IFNg,original,1.0,0.0021518391500235357
IFNg,original,1.0,0.002151983860121049
IFNg,original,1.0,0.0021521285896832338
IFNg,original,1.0,0.0021522733387140166
IFNg,original,1.0,0.002152418107217327
IFNg,original,1.0,0.002152562895197094
IFNg,original,1.0,0.0021527077026572486
IFNg,original,1.0,0.002152852529601722
IFNg,original,1.0,0.0021529973760344477
IFNg,original,1.0,0.0021531422419593595
IFNg,original,1.0,0.0021532871273803916
IFNg,original,1.0,0.0021534320323014803
IFNg,original,1.0,0.002153576956726563
IFNg,original,1.0,0.0021537219006595772
IFNg,original,1.0,0.0021538668641044624
IFNg,original,1.0,0.002154011847065159
IFNg,original,1.0,0.0021541568495456074
IFNg,original,1.0,0.0021543018715497507
IFNg,original,1.0,0.0021544469130815322
IFNg,original,1.0,0.0021545919741448962
IFNg,original,1.0,0.0021547370547437884
IFNg,original,1.0,0.0021548821548821547
IFNg,original,1.0,0.0021550272745639435
IFNg,original,1.0,0.0021551724137931034
IFNg,original,1.0,0.002155317572573584
IFNg,original,1.0,0.002155462750909336
IFNg,original,1.0,0.002155607948804311
IFNg,original,1.0,0.002155753166262463
IFNg,original,1.0,0.002155898403287745
IFNg,original,1.0,0.0021560436598841125
IFNg,original,1.0,0.002156188936055522
IFNg,original,1.0,0.00215633423180593
IFNg,original,1.0,0.002156479547139295
IFNg,original,1.0,0.0021566248820595766
IFNg,original,1.0,0.0021567702365707354
IFNg,original,1.0,0.0021569156106767324
IFNg,original,1.0,0.0021570610043815303
IFNg,original,1.0,0.0021572064176890926
IFNg,original,1.0,0.0021573518506033842
IFNg,original,1.0,0.002157497303128371
IFNg,original,1.0,0.00215764277526802
IFNg,original,1.0,0.002157788267026298
IFNg,original,1.0,0.002157933778407175
IFNg,original,1.0,0.002158079309414621
IFNg,original,1.0,0.0021582248600526066
IFNg,original,1.0,0.0021583704303251047
IFNg,original,1.0,0.0021585160202360876
IFNg,original,1.0,0.0021586616297895305
IFNg,original,1.0,0.0021588072589894085
IFNg,original,1.0,0.002158952907839698
IFNg,original,1.0,0.0021590985763443762
IFNg,original,1.0,0.0021592442645074223
IFNg,original,1.0,0.002159389972332816
IFNg,original,1.0,0.002159535699824538
IFNg,original,1.0,0.0021596814469865694
IFNg,original,1.0,0.0021598272138228943
IFNg,original,1.0,0.0021599730003374956
IFNg,original,1.0,0.002160118806534359
IFNg,original,1.0,0.002160264632417471
IFNg,original,1.0,0.002160410477990818
IFNg,original,1.0,0.002160556343258389
IFNg,original,1.0,0.0021607022282241727
IFNg,original,1.0,0.0021608481328921603
IFNg,original,1.0,0.0021609940572663426
IFNg,original,1.0,0.0021611400013507127
IFNg,original,1.0,0.0021612859651492637
IFNg,original,1.0,0.0021614319486659914
IFNg,original,1.0,0.0021615779519048904
IFNg,original,1.0,0.002161723974869959
IFNg,original,1.0,0.002161870017565194
IFNg,original,1.0,0.002162016079994595
IFNg,original,1.0,0.002162162162162162
IFNg,original,1.0,0.0021623082640718967
IFNg,original,1.0,0.002162454385727801
IFNg,original,1.0,0.0021626005271338784
IFNg,original,1.0,0.0021627466882941336
IFNg,original,1.0,0.0021628928692125717
IFNg,original,1.0,0.0021630390698932
IFNg,original,1.0,0.0021631852903400257
IFNg,original,1.0,0.002163331530557058
IFNg,original,1.0,0.0021634777905483065
IFNg,original,1.0,0.0021636240703177823
IFNg,original,1.0,0.0021637703698694976
IFNg,original,1.0,0.0021639166892074655
IFNg,original,1.0,0.0021640630283357005
IFNg,original,1.0,0.002164209387258217
IFNg,original,1.0,0.002164355765979033
IFNg,original,1.0,0.0021645021645021645
IFNg,original,1.0,0.002164648582831631
IFNg,original,1.0,0.0021647950209714517
IFNg,original,1.0,0.002164941478925648
IFNg,original,1.0,0.002165087956698241
IFNg,original,1.0,0.002165234454293254
IFNg,original,1.0,0.002165380971714711
IFNg,original,1.0,0.0021655275089666375
IFNg,original,1.0,0.002165674066053059
IFNg,original,1.0,0.0021658206429780035
IFNg,original,1.0,0.002165967239745499
IFNg,original,1.0,0.0021661138563595747
IFNg,original,1.0,0.002166260492824262
IFNg,original,1.0,0.002166407149143592
IFNg,original,1.0,0.002166553825321598
IFNg,original,1.0,0.002166700521362313
IFNg,original,1.0,0.0021668472372697724
IFNg,original,1.0,0.0021669939730480123
IFNg,original,1.0,0.00216714072870107
IFNg,original,1.0,0.0021672875042329834
IFNg,original,1.0,0.002167434299647792
IFNg,original,1.0,0.002167581114949536
IFNg,original,1.0,0.0021677279501422573
IFNg,original,1.0,0.002167874805229998
IFNg,original,1.0,0.002168021680216802
IFNg,original,1.0,0.0021681685751067147
IFNg,original,1.0,0.002168315489903781
IFNg,original,1.0,0.0021684624246120486
IFNg,original,1.0,0.002168609379235565
IFNg,original,1.0,0.0021687563537783803
IFNg,original,1.0,0.0021689033482445437
IFNg,original,1.0,0.0021690503626381075
IFNg,original,1.0,0.0021691973969631237
IFNg,original,1.0,0.002169344451223646
IFNg,original,1.0,0.002169491525423729
IFNg,original,1.0,0.0021696386195674284
IFNg,original,1.0,0.0021697857336588013
IFNg,original,1.0,0.0021699328677019054
IFNg,original,1.0,0.0021700800217008
IFNg,original,1.0,0.0021702271956595457
IFNg,original,1.0,0.002170374389582203
IFNg,original,1.0,0.0021705216034728345
IFNg,original,1.0,0.002170668837335504
IFNg,original,1.0,0.002170816091174276
IFNg,original,1.0,0.002170963364993216
IFNg,original,1.0,0.0021711106587963907
IFNg,original,1.0,0.002171257972587868
IFNg,original,1.0,0.0021714053063717174
IFNg,original,1.0,0.002171552660152009
IFNg,original,1.0,0.002171700033932813
IFNg,original,1.0,0.0021718474277182026
IFNg,original,1.0,0.0021719948415122514
IFNg,original,1.0,0.0021721422753190334
IFNg,original,1.0,0.0021722897291426243
IFNg,original,1.0,0.0021724372029871012
IFNg,original,1.0,0.0021725846968565416
IFNg,original,1.0,0.0021727322107550242
IFNg,original,1.0,0.00217287974468663
IFNg,original,1.0,0.0021730272986554395
IFNg,original,1.0,0.002173174872665535
IFNg,original,1.0,0.0021733224667209996
IFNg,original,1.0,0.0021734700808259187
IFNg,original,1.0,0.002173617714984377
IFNg,original,1.0,0.002173765369200462
IFNg,original,1.0,0.002173913043478261
IFNg,original,1.0,0.002174060737821863
IFNg,original,1.0,0.002174208452235358
IFNg,original,1.0,0.0021743561867228374
IFNg,original,1.0,0.0021745039412883935
IFNg,original,1.0,0.0021746517159361195
IFNg,original,1.0,0.00217479951067011
IFNg,original,1.0,0.002174947325494461
IFNg,original,1.0,0.002175095160413268
IFNg,original,1.0,0.00217524301543063
IFNg,original,1.0,0.002175390890550646
IFNg,original,1.0,0.0021755387857774152
IFNg,original,1.0,0.0021756867011150393
