experiment,panel,sample_type,sample_num,label,position_relative_to_tes_bp,mean,ci_lower,ci_upper
SPAM,coverage,SN,1,NTVE-SN,-1295.0,0.6742790054407427,0.6484135361566116,0.7001444747248738
SPAM,coverage,SN,1,NTVE-SN,-1285.0,0.681866669724301,0.6559818727954198,0.7077514666531822
SPAM,coverage,SN,1,NTVE-SN,-1275.0,0.6945647346017849,0.66829162921837,0.7208378399851998
SPAM,coverage,SN,1,NTVE-SN,-1265.0,0.7089509570172997,0.6821477600744041,0.7357541539601953
SPAM,coverage,SN,1,NTVE-SN,-1255.0,0.7217512439619157,0.6945162189064537,0.7489862690173777
SPAM,coverage,SN,1,NTVE-SN,-1245.0,0.7252942699320397,0.6979632149698717,0.7526253248942077
SPAM,coverage,SN,1,NTVE-SN,-1235.0,0.7271547601626479,0.6999014076948872,0.7544081126304086
SPAM,coverage,SN,1,NTVE-SN,-1225.0,0.7345921888398903,0.7070842390102766,0.762100138669504
SPAM,coverage,SN,1,NTVE-SN,-1215.0,0.7361376515432783,0.7085605971633309,0.7637147059232257
SPAM,coverage,SN,1,NTVE-SN,-1205.0,0.7410766206371701,0.7133131184891599,0.7688401227851802
SPAM,coverage,SN,1,NTVE-SN,-1195.0,0.7465606417906748,0.7189768773953101,0.7741444061860395
SPAM,coverage,SN,1,NTVE-SN,-1185.0,0.7516811983156749,0.724347534751955,0.7790148618793948
SPAM,coverage,SN,1,NTVE-SN,-1175.0,0.7506004588246519,0.7234991747438135,0.7777017429054902
SPAM,coverage,SN,1,NTVE-SN,-1165.0,0.7551213012765162,0.7279733789801305,0.782269223572902
SPAM,coverage,SN,1,NTVE-SN,-1155.0,0.7523436831705614,0.7254197836551738,0.7792675826859491
SPAM,coverage,SN,1,NTVE-SN,-1145.0,0.7527787479749385,0.7258843574763448,0.7796731384735321
SPAM,coverage,SN,1,NTVE-SN,-1135.0,0.7636268754858421,0.7364356053722622,0.790818145599422
SPAM,coverage,SN,1,NTVE-SN,-1125.0,0.7743633898273827,0.7466687689922953,0.8020580106624702
SPAM,coverage,SN,1,NTVE-SN,-1115.0,0.7813061941996987,0.7534389632279845,0.8091734251714129
SPAM,coverage,SN,1,NTVE-SN,-1105.0,0.7943282579055277,0.7662882228293036,0.8223682929817518
SPAM,coverage,SN,1,NTVE-SN,-1095.0,0.8045141504028129,0.7762062763378502,0.8328220244677756
SPAM,coverage,SN,1,NTVE-SN,-1085.0,0.8128968499611862,0.7845478951661279,0.8412458047562444
SPAM,coverage,SN,1,NTVE-SN,-1075.0,0.8264942873506625,0.7977649410605604,0.8552236336407647
SPAM,coverage,SN,1,NTVE-SN,-1065.0,0.8434654281061104,0.814248772987028,0.8726820832251927
SPAM,coverage,SN,1,NTVE-SN,-1055.0,0.860908142740071,0.8313370588428651,0.8904792266372769
SPAM,coverage,SN,1,NTVE-SN,-1045.0,0.8768953456705114,0.847148872546516,0.9066418187945068
SPAM,coverage,SN,1,NTVE-SN,-1035.0,0.891219287661168,0.8616258538812285,0.9208127214411075
SPAM,coverage,SN,1,NTVE-SN,-1025.0,0.8955128387261219,0.8660576465262344,0.9249680309260093
SPAM,coverage,SN,1,NTVE-SN,-1015.0,0.9098471532020365,0.8801658462726847,0.9395284601313882
SPAM,coverage,SN,1,NTVE-SN,-1005.0,0.9177737672275945,0.8880812598479805,0.9474662746072086
SPAM,coverage,SN,1,NTVE-SN,-995.0,0.9302456976953549,0.9005977857758699,0.9598936096148399
SPAM,coverage,SN,1,NTVE-SN,-985.0,0.9391972483217688,0.9095349606772963,0.9688595359662412
SPAM,coverage,SN,1,NTVE-SN,-975.0,0.9528919862227831,0.9226546869877603,0.983129285457806
