panel,stem,n_replicates,bin_center,mean_density,se_density,ci95_lower,ci95_upper
b,suppl6b_cm_export_ratio,3,-0.964869169342883,0.13869512415141444,0.031558477824105174,0.0768405076161683,0.2005497406866606
b,suppl6b_cm_export_ratio,3,-0.908158645281416,0.19933541272100394,0.033560302819417284,0.13355721919494606,0.2651136062470618
b,suppl6b_cm_export_ratio,3,-0.851448121219949,0.16465810421794366,0.06188622213614781,0.04336110883109395,0.2859550996047934
b,suppl6b_cm_export_ratio,3,-0.7947375971584819,0.207325800779485,0.056176857338635734,0.09721916039575897,0.31743244116321107
b,suppl6b_cm_export_ratio,3,-0.7380270730970149,0.2109404074422174,0.09550920059475061,0.02374237427650619,0.3981384406079286
b,suppl6b_cm_export_ratio,3,-0.6813165490355478,0.2819178152199841,0.11567427592366884,0.055196234409593176,0.508639396030375
b,suppl6b_cm_export_ratio,3,-0.6246060249740808,0.3733417831319978,0.06281491607388698,0.25022454762717933,0.49645901863681624
b,suppl6b_cm_export_ratio,3,-0.5678955009126138,0.20795973853600258,0.08185839053219797,0.04751729309289457,0.3684021839791106
b,suppl6b_cm_export_ratio,3,-0.5111849768511467,0.2989015542129052,0.07416771840313592,0.15353282614275882,0.4442702822830516
b,suppl6b_cm_export_ratio,3,-0.4544744527896797,0.26005159405129735,0.07407027375791024,0.11487385748579329,0.40522933061680144
b,suppl6b_cm_export_ratio,3,-0.39776392872821265,0.39775786518758466,0.06325219813397466,0.27378355684499434,0.521732173530175
b,suppl6b_cm_export_ratio,3,-0.3410534046667457,0.41282568105012213,0.08109195593618593,0.2538854474151977,0.5717659146850466
b,suppl6b_cm_export_ratio,3,-0.2843428806052787,0.5180495893116351,0.04944239851028455,0.42114248823147743,0.6149566903917929
b,suppl6b_cm_export_ratio,3,-0.22763235654381164,0.5900671943203298,0.0457663730250344,0.5003651031912624,0.6797692854493973
b,suppl6b_cm_export_ratio,3,-0.17092183248234472,0.43191436304979874,0.062107630355639175,0.310183407552746,0.5536453185468515
b,suppl6b_cm_export_ratio,3,-0.11421130842087757,0.5173769931493793,0.05888085057676818,0.4019705260189137,0.632783460279845
