sample_num,sample_label,analysis,quantile,rediscovery_rate,auc
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,98.0,82.66102257636122,9269.280855270108
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_top,100.0,81.82040019521718,9269.280855270108
2,HIV-1 Gag,Lysate→SN_bottom,2.0,55.111111111111114,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,4.0,55.432372505543235,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,6.0,55.917159763313606,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,8.0,56.430155210643015,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,10.0,56.87666370896185,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,12.0,57.57575757575758,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,14.0,58.04816223067174,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,16.0,58.536585365853654,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,18.0,59.93100049285363,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,20.0,61.108647450110865,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,22.0,61.61290322580645,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,24.0,62.45380635624538,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,26.0,63.050153531218015,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,28.0,63.8580931263858,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,30.0,64.1632170313424,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,32.0,64.77272727272727,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,34.0,65.27524132533263,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,36.0,65.80438531658044,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,38.0,66.4799253034547,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,40.0,67.00665188470066,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,42.0,67.60295670538542,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,44.0,68.21205402136667,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,46.0,68.62707288854608,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,48.0,69.2350332594235,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,50.0,69.82437466737626,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,52.0,70.09553053565337,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,54.0,70.51576872536137,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,56.0,70.9171550768256,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,58.0,71.43294081663863,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,60.0,71.91011235955057,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,62.0,72.37482117310444,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,64.0,72.88981288981289,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,66.0,73.31003897325628,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,68.0,73.67597182363684,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,70.0,74.08768373035986,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,72.0,74.53492669705555,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,74.0,74.90111470693995,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,76.0,75.24509803921569,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,78.0,75.66522629065273,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,80.0,76.06164763277525,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,82.0,76.473769605192,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,84.0,76.89545934530095,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,86.0,77.2792904290429,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,88.0,77.68370123979437,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,90.0,78.10190204001182,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,92.0,78.43231777863478,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,94.0,78.76014342328742,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,96.0,79.14626258893098,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,98.0,79.50040727667663,6750.473044289534
2,HIV-1 Gag,Lysate→SN_bottom,100.0,79.9095263437999,6750.473044289534
2,HIV-1 Gag,Lysate→SN_top,2.0,100.0,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,4.0,98.22616407982262,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,6.0,97.92899408284023,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,8.0,96.89578713968959,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,10.0,96.18456078083408,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,12.0,96.23059866962306,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,14.0,96.07097591888466,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,16.0,95.73170731707317,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,18.0,95.56431739773288,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,20.0,95.29933481152993,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,22.0,94.95967741935483,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,24.0,94.67849223946784,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,26.0,94.16581371545547,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,28.0,93.72822299651567,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,30.0,93.4949733885275,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,32.0,93.15410199556541,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,34.0,92.72110618314636,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,36.0,92.38728750923872,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,38.0,92.20354808590103,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,40.0,91.90687361419069,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,42.0,91.6156282998944,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,44.0,91.35254988913526,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,46.0,90.93713844967219,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,48.0,90.53954175905396,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,50.0,89.99467802022353,8795.518593278193
2,HIV-1 Gag,Lysate→SN_top,52.0,89.76458546571136,8795.518593278193
